Rk_passing,Year_passing,Date,G#_passing,Week_passing,Age_passing,Tm_passing,Unnamed: 7_level_1_passing,Opp_passing,Result_passing,Cmp,Att_passing,Yds_passing,1D_passing,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC_passing,YAC/Cmp,Drops,Drop%_passing,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Rk_rushing,Year_rushing,G#_rushing,Week_rushing,Age_rushing,Tm_rushing,Unnamed: 7_level_1_rushing,Opp_rushing,Result_rushing,Att_rushing,Yds_rushing,TD,1D_rushing,YBC,YBC/Att,YAC_rushing,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds_rushing,TD,1D_rushing,YBC,YBC/R,YAC_rushing,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%_rushing,Int,Rat,,Graph Metrics,Graph Totals,,Metrics,Wilson Totals,Fields Totals,Leader
84,2023,10/22/2023,7,7,34.327,DEN,,GNB,W 19-17,20,29,194,9,30,227,7.8,106,5.3,3.7,88,4.4,2,8.30%,2,8.30%,1,10,4,2,7,22.60%,1,21,84,2023,7,7,34.327,DEN,,GNB,W 19-17,1,21,0,1,8,8,13,13,1,1,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
85,2023,10/29/2023,8,8,34.334,DEN,,KAN,W 24-9,12,19,114,7,28,127,6.7,42,3.5,2.2,72,6,1,5.60%,4,22.20%,6,5,0,1,7,22.60%,6,4.3,85,2023,8,8,34.334,DEN,,KAN,W 24-9,8,30,0,4,30,3.8,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
86,2023,11/13/2023,9,10,34.349,DEN,@,BUF,W 24-22,24,29,193,12,36.4,100,3.4,77,3.2,2.7,116,4.8,2,6.90%,3,10.30%,4,9,4,3,11,29.70%,4,7.3,86,2023,9,10,34.349,DEN,@,BUF,W 24-22,9,30,0,3,24,2.7,6,0.7,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
87,2023,11/19/2023,10,11,34.355,DEN,,MIN,W 21-20,27,35,259,11,29.7,233,6.7,82,3,2.3,177,6.6,0,0.00%,3,9.40%,2,11,0,5,7,18.90%,0,,87,2023,10,11,34.355,DEN,,MIN,W 21-20,2,1,0,1,1,0.5,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
88,2023,11/26/2023,11,12,34.362,DEN,,CLE,W 29-12,13,22,134,5,21.7,122,5.5,67,5.2,3,67,5.2,3,14.30%,3,14.30%,1,10,4,3,8,32.00%,2,7,88,2023,11,12,34.362,DEN,,CLE,W 29-12,11,34,1,3,30,2.7,4,0.4,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
89,2023,12/3/2023,12,13,35.004,DEN,@,HOU,L 17-22,15,26,186,5,17.2,335,12.9,98,6.5,3.8,88,5.9,1,4.20%,2,8.30%,3,2,4,5,12,33.30%,7,5.3,89,2023,12,13,35.004,DEN,@,HOU,L 17-22,10,44,1,4,33,3.3,11,1.1,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
90,2023,12/10/2023,13,14,35.011,DEN,@,LAC,W 24-7,21,33,224,9,25.7,167,5.1,40,1.9,1.2,184,8.8,1,3.30%,4,13.30%,2,17,0,1,3,8.30%,1,7,90,2023,13,14,35.011,DEN,@,LAC,W 24-7,6,5,0,2,5,0.8,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
91,2023,12/16/2023,14,15,35.017,DEN,@,DET,L 17-42,18,32,223,12,35.3,232,7.3,86,4.8,2.7,137,7.6,2,6.30%,4,12.50%,2,15,5,6,13,37.10%,1,1,91,2023,14,15,35.017,DEN,@,DET,L 17-42,7,6,1,3,6,0.9,0,0,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
92,2023,12/24/2023,15,16,35.025,DEN,,NWE,L 23-26,25,37,238,10,23.8,328,8.9,86,3.4,2.3,152,6.1,2,5.60%,5,13.90%,5,10,2,3,10,23.30%,1,14,92,2023,15,16,35.025,DEN,,NWE,L 23-26,4,20,0,4,14,3.5,6,1.5,0,,0,0,0,0,0,0,,0,,,0,,0,0,,,,,,,,,,
Totals,,92 Games,,,,,,,50-42-0,1853,2831,21477,971,31.2,24907,8.8,11728,6.3,4.1,9749,5.3,125,4.70%,433,16.20%,279,967,350,312,941,28.30%,217,8,,,,,,,,,50-42-0,403,2032,13,141,1768,4.4,264,0.7,6,67.2,2,2,-10,0,0,-11,-5.5,1,0.5,-5.5,0,,0,0,0,79.2,,,,,,,,
